locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof
Dahisar East,Mumbai,north,operational,Dahisar (East) [Line 7],no,Mindspace Malad,7.58,yellow,0.35,yes,yes,True,Dahisar (East) [Line 7],0.35,6km+,0,Dahisar,0.47,17.63,8,56,5,19.2486925,72.8640593,34.59,R/N Ward,Maharashtra,3,2022-06-08,2022-06-27,high,Dahisar East,place/suburb,Dahisar East,2022,2022-04-13
Dahisar West,Mumbai,north,operational,Mandapeshwar - I.C. Colony,no,Mindspace Malad,7.32,yellow,0.76,yes,yes,True,Mandapeshwar - I.C. Colony,0.76,6km+,0,Dahisar,0.7,17.68,8,61,3,19.248875,72.852959,34.53,R/N Ward,Maharashtra,1,2022-05-31,2022-05-31,high,Dahisar West,place/suburb,Dahisar West,2022,2022-04-13
darshan ricco Tower,Mumbai,east,none,Magathane,yes,Wagle Estate Thane,1.26,red,10.27,no,no,True,Azad Nagar Bus Stop,4.98,0-3km,5,Thane,1.98,16.08,20,122,15,19.1995926,72.9629415,31.95,Panch Pakadi,Maharashtra,1,2022-05-27,2022-05-27,low,,historic/monument,darshan ricco Tower,2022,2022-04-13
Datta Pada,Mumbai,north,none,Kandarpada,no,Mindspace Malad,28.7,yellow,20.76,no,no,True,Kashigaon,19.16,6km+,0,Virar,1.99,39.3,0,20,0,19.441645,72.8240682,55.93,Virar East,Maharashtra,1,2022-07-07,2022-07-07,low,Datta Mandir,amenity/place_of_worship,Datta Pada,2022,2022-04-13
Dattani Park,Mumbai,north,operational,Magathane,yes,Mindspace Malad,4.51,red,0.57,yes,yes,True,Magathane,0.57,3-6km,0,Borivali,2.24,13.72,6,32,9,19.2133591,72.870794,30.76,R/S Ward,Maharashtra,1,2022-07-07,2022-07-07,high,Dattani Park,place/neighbourhood,Dattani Park,2022,2022-04-13
"DB Ozone, Mira Road",Mumbai,north,none,Kandarpada,no,Mindspace Malad,10.97,yellow,2.85,no,no,True,Kashigaon,2.58,6km+,0,Mira Road,0.0,21.31,8,40,5,19.2816975,72.8560676,38.19,Mira,Maharashtra,2,2022-04-27,2022-06-29,medium,Mira Road,railway/station,Mira Road,2022,2022-04-13
"DB Woods, Gokuldham",Mumbai,north,operational,Aarey,yes,Nirlon Knowledge Park,2.56,red,1.01,yes,yes,True,Aarey,1.01,0-3km,3,Goregaon,2.1,9.32,13,51,5,19.1738527,72.8670935,26.35,P/S Ward,Maharashtra,4,2022-05-18,2022-07-09,high,Gokuldham,place/neighbourhood,Gokuldham,2022,2022-04-13
"Deep Heights, Nalasopara",Mumbai,north,none,Kandarpada,no,Mindspace Malad,26.38,yellow,18.49,no,no,True,Kashigaon,17.1,6km+,0,Nalla Sopara,0.29,37.0,4,42,6,19.4203577,72.8194857,53.57,Vasai-Virar,Maharashtra,1,2022-05-25,2022-05-25,low,Nala Sopara,place/borough,Nalasopara,2022,2022-04-13
Deonar,Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,4.68,blue,4.36,yes,no,False,Shivaji Chowk (Chembur),0.19,3-6km,5,VNP & RC Marg Junction,1.28,6.49,36,79,15,19.0475502,72.9051895,14.14,M/W Ward,Maharashtra,1,2022-05-31,2022-05-31,high,Deonar,place/suburb,Deonar,2022,2022-04-13
Devi Pada,Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,1,2022-05-19,2022-05-19,none,,,,2022,2022-04-13
Dhanukar Wadi,Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,2.6,yellow,0.35,yes,yes,True,Dahanukarwadi,0.35,0-3km,1,Kandivali,1.48,13.28,26,87,10,19.207197,72.837984,29.85,R/S Ward,Maharashtra,1,2022-05-25,2022-05-25,low,Dhanukar Wadi Dispensary,amenity/clinic,Dhanukar Wadi,2022,2022-04-13
