locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof
"Kailash Tower, Powai",Mumbai,east,none,Saki Naka,yes,Hiranandani Business Park Powai,0.89,blue,2.65,no,no,TRUE,Saki Naka,2.65,0-3km,16,Vikhroli,2.32,5.65,23,17,20,19.1187195,72.9073476,21.39,S Ward,Maharashtra,1,6/4/2022,6/4/2022,high,Powai,place/suburb,Powai,2022,4/13/2022
Kalina,Mumbai,south,under_construction,Airport Road,yes,Bandra Kurla Complex,1.43,blue,3.69,yes,no,FALSE,Santacruz,1.49,0-3km,16,Santa Cruz,2.07,1.22,14,26,3,19.079273,72.8612672,15.85,H/E Ward,Maharashtra,3,5/26/2022,6/4/2022,high,Kalina,place/suburb,Kalina,2022,4/13/2022
"Kalpataru Antariksha, Prabhadevi",Mumbai,south,under_construction,Asalpha,yes,Lower Parel Business District,1.35,blue,11.48,yes,no,FALSE,Siddhivinayak Temple,0.33,0-3km,4,Prabhadevi,1.17,9.14,47,48,5,19.0148811,72.8279556,8.5,G/S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Prabhadevi,place/suburb,Prabhadevi,2022,4/13/2022
"Kalpataru Crest, Bhandup West",Mumbai,east,none,Saki Naka,yes,Godrej One Vikhroli,4.64,blue,6.78,no,no,TRUE,Aarey JVLR,5.5,3-6km,6,Bhandup,0.55,9.73,20,42,4,19.1462636,72.9339461,25.29,S Ward,Maharashtra,2,7/6/2022,7/6/2022,high,Bhandup West,place/suburb,Bhandup West,2022,4/13/2022
"Kalpataru Towers, Akurli Nagar",Mumbai,north,operational,Akurli,yes,Mindspace Malad,2.69,red,0.42,yes,yes,TRUE,Akurli,0.42,0-3km,1,Kandivali,0.8,12.39,20,79,10,19.2015406,72.8588123,29.32,R/S Ward,Maharashtra,1,7/9/2022,7/9/2022,low,Akurli Road,highway/tertiary,Akurli Nagar,2022,4/13/2022
Kamla Nagar,Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,2.34,yellow,0.88,yes,yes,TRUE,Dahanukarwadi,0.88,0-3km,1,Kandivali,0.91,12.94,25,97,8,19.2050008,72.8431141,29.61,R/S Ward,Maharashtra,1,5/23/2022,5/23/2022,low,Kamla Nagar,building/apartments,Kamla Nagar,2022,4/13/2022
"Kanakia Hollywood, Sai Nagar",Mumbai,east,none,Saki Naka,yes,Hiranandani Business Park Powai,4.63,blue,6.43,no,no,TRUE,Aarey JVLR,4.81,3-6km,5,Bhandup,1.44,9.29,38,35,3,19.1490182,72.9257057,25.23,S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Sai Nagar,place/neighbourhood,Sai Nagar,2022,4/13/2022
"Kanakia Levels, Malad East",Mumbai,north,operational,Kurar,yes,Mindspace Malad,1.6,red,0.27,yes,yes,TRUE,Kurar,0.27,0-3km,3,Malad,0.82,10.68,19,95,8,19.1860219,72.8563181,27.58,P/N Ward,Maharashtra,2,7/6/2022,7/6/2022,high,Malad East,place/suburb,Malad East,2022,4/13/2022
"Kanakia Paris, Bandra Kurla Complex",Mumbai,south,under_construction,Asalpha,yes,Bandra Kurla Complex,0,blue,4.47,yes,no,FALSE,Bandra Kurla Complex (BKC),1.36,0-3km,11,Kurla,1.44,2.58,18,42,5,19.067115,72.8657245,14.62,H/E Ward,Maharashtra,2,6/28/2022,7/8/2022,high,Bandra Kurla Complex,place/suburb,Bandra Kurla Complex,2022,4/13/2022
"Kanakia Rainforest, Andheri East",Mumbai,west,operational,Western Express Highway,yes,SEEPZ Andheri East,0,blue,0.23,yes,yes,TRUE,Gundavali,0.18,0-3km,15,Andheri,0.92,3,36,92,5,19.1158835,72.854202,19.79,K/E Ward,Maharashtra,1,6/16/2022,6/16/2022,high,Andheri East,place/suburb,Andheri East,2022,4/13/2022
