locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof
"117 Residency, Chembur East",Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,4.56,blue,5.74,yes,no,FALSE,Shivaji Chowk (Chembur),1.79,3-6km,4,Bharat Petroleum,0.17,6.83,12,27,7,19.0366683,72.8947992,12.55,M/E Ward,Maharashtra,1,5/31/2022,5/31/2022,low,Brainwonders Chembur,healthcare/counselling,Chembur East,2022,4/13/2022
"7 Bungalow, Seven Bungalows",Mumbai,west,operational,Versova,yes,SEEPZ Andheri East,3.78,blue,0.05,yes,yes,TRUE,Versova,0.05,3-6km,9,Andheri,2.86,6.2,27,57,18,19.1297617,72.8213781,21.29,K/W Ward,Maharashtra,3,7/9/2022,7/9/2022,high,Seven Bungalows,place/neighbourhood,Seven Bungalows,2022,4/13/2022
7 Bungalows Andheri West,Mumbai,west,operational,Andheri (West),yes,Nirlon Knowledge Park,2.62,yellow,1.31,yes,yes,TRUE,Lower Oshiwara,0.16,0-3km,13,Jogeshwari (Harbour Line),1.7,6.44,34,75,22,19.1408374,72.8332241,22.47,K/W Ward,Maharashtra,1,7/6/2022,7/6/2022,low,Nissan,shop/car,7 Bungalows Andheri West,2022,4/13/2022
90 ft road,Mumbai,east,none,Magathane,no,Mindspace Airoli,12.51,red,24.87,no,no,TRUE,Azad Nagar Bus Stop,13.08,6km+,1,Thakurli,0.88,29.14,13,55,2,19.2203974,73.1036411,42.13,Thakurli,Maharashtra,1,7/6/2022,7/6/2022,low,90ft Road,highway/secondary,90 ft road,2022,4/13/2022
"Acme Avenue, Kandivali West",Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,2.4,yellow,0.54,yes,yes,TRUE,Dahanukarwadi,0.54,0-3km,1,Kandivali,1.25,13.05,25,98,10,19.2055321,72.8399273,29.66,R/S Ward,Maharashtra,1,6/15/2022,6/15/2022,high,Kandivali West,place/suburb,Kandivali West,2022,4/13/2022
"Adani Western Heights, 4 Bunglows",Mumbai,east,none,Poisar,yes,Wagle Estate Thane,2.65,red,11.42,no,no,TRUE,Azad Nagar Bus Stop,6.64,0-3km,13,Thane,0.81,15.18,30,118,13,19.1823295,72.9694662,30.53,Kopri,Maharashtra,1,7/6/2022,7/6/2022,medium,Twelve Bunglows,highway/bus_stop,4 Bunglows,2022,4/13/2022
"Adani Western Heights, Andheri West",Mumbai,west,operational,Azad Nagar,yes,SEEPZ Andheri East,2.13,blue,1.14,yes,yes,TRUE,Azad Nagar,1.14,0-3km,13,Andheri,1.34,4.28,33,91,15,19.1172495,72.833968,19.84,K/W Ward,Maharashtra,3,5/31/2022,7/7/2022,high,Andheri West,place/suburb,Andheri West,2022,4/13/2022
"Aditi Apartment, Andheri West",Mumbai,west,operational,Azad Nagar,yes,SEEPZ Andheri East,2.13,blue,1.14,yes,yes,TRUE,Azad Nagar,1.14,0-3km,13,Andheri,1.34,4.28,33,91,15,19.1172495,72.833968,19.84,K/W Ward,Maharashtra,1,5/30/2022,5/30/2022,high,Andheri West,place/suburb,Andheri West,2022,4/13/2022
"Adityavardhan Apartment, Raheja Vihar",Mumbai,east,operational,Saki Naka,yes,Hiranandani Business Park Powai,1.66,blue,1.89,yes,yes,TRUE,Aarey JVLR,1.69,0-3km,18,Vikhroli,3.56,4.68,10,25,16,19.1191663,72.8951234,21.02,L Ward,Maharashtra,1,6/23/2022,6/23/2022,medium,Raheja Vihar Circular Road,landuse/residential,Raheja Vihar,2022,4/13/2022
Agripada,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,3.16,blue,15.18,yes,no,FALSE,Mahalaxmi,0.49,3-6km,1,Byculla,0.83,13.4,55,66,7,18.97504,72.8250555,4.17,E Ward,Maharashtra,1,5/27/2022,5/27/2022,high,Agripada,place/neighbourhood,Agripada,2022,4/13/2022
"Ahimsa Marg, Mindspace",Mumbai,north,none,Kandarpada,no,Mindspace Malad,30.36,yellow,22.52,no,no,TRUE,Kashigaon,21.13,6km+,0,Virar,0.3,41,3,36,6,19.4553807,72.8089778,57.51,Virar West,Maharashtra,1,7/7/2022,7/7/2022,low,"Jain Mandir Road,Ahimsa Marg",highway/residential,Ahimsa Marg Mindspace,2022,4/13/2022
"Aims Sea View, Indralok",Mumbai,north,none,Anand Nagar,no,Mindspace Malad,13.55,yellow,5.03,no,no,TRUE,Kashigaon,2.76,6km+,0,Bhayandar,2.44,23.57,7,29,2,19.3018253,72.8741489,40.57,Ghodbunder,Maharashtra,1,5/17/2022,5/17/2022,low,Aims Sea View Co-operative Housing Society,building/yes,Aims Sea View Indralok,2022,4/13/2022
"Ajmera Bhakti Park, Bhakti Park",Mumbai,south,none,Ghatkopar L1,yes,Bandra Kurla Complex,4.6,blue,7.2,no,no,TRUE,Chembur,3.23,3-6km,4,Bhakti Park,0.24,7.14,5,8,0,19.0278681,72.8795682,10.94,M/W Ward,Maharashtra,7,5/27/2022,7/9/2022,high,Bhakti Park,place/neighbourhood,Bhakti Park,2022,4/13/2022
"Ajmera Treon, Bhakti Park",Mumbai,south,none,Ghatkopar L1,yes,Bandra Kurla Complex,4.6,blue,7.2,no,no,TRUE,Chembur,3.23,3-6km,4,Bhakti Park,0.24,7.14,5,8,0,19.0278681,72.8795682,10.94,M/W Ward,Maharashtra,1,6/30/2022,6/30/2022,high,Bhakti Park,place/neighbourhood,Bhakti Park,2022,4/13/2022
"Akruti Aneri, Marol",Mumbai,east,operational,Airport Road,yes,MIDC Andheri East,0.53,blue,0.6,yes,yes,TRUE,MIDC - Andheri,0.53,0-3km,21,Andheri,3.33,3.11,13,46,5,19.1144347,72.8776145,20.03,K/E Ward,Maharashtra,1,6/16/2022,6/16/2022,high,Marol Village,place/neighbourhood,Marol,2022,4/13/2022
"Akruti Orchid Park, Sakinaka Junction",Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,2,6/13/2022,6/14/2022,none,,,,2022,4/13/2022
"Almeida Park, Turner Road",Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.75,blue,6.99,yes,no,FALSE,Dharavi,2.29,3-6km,7,Bandra,0.96,4.9,44,54,8,19.0575631,72.8314731,13.21,Bandra West,Maharashtra,1,6/3/2022,6/3/2022,low,Almeida Park,leisure/park,Almeida Park Turner Road,2022,4/13/2022
"Alpine Apartments, Chembur East",Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,4.35,blue,3.26,yes,no,FALSE,Diamond Garden,0.76,3-6km,5,Chembur,0.76,5.8,38,86,13,19.0574431,72.9058636,15.13,M/W Ward,Maharashtra,1,5/31/2022,5/31/2022,low,Ariso Apartments,building/apartments,Alpine Apartments Chembur East,2022,4/13/2022
"Alpine Shapoorji Pallonji, Thakur Village, Kandivali East",Mumbai,north,operational,Magathane,yes,Mindspace Malad,4.63,red,1.24,yes,yes,TRUE,Magathane,1.24,3-6km,0,Kandivali,2.62,13.36,5,24,7,19.2097189,72.8759248,30.42,R/S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Thakur Village,place/suburb,Thakur Village,2022,4/13/2022
"Alpine, Kandivali East",Mumbai,north,operational,Poisar,yes,Mindspace Malad,3.26,red,0.19,yes,yes,TRUE,Poisar,0.19,3-6km,1,Kandivali,1.15,12.79,14,67,10,19.2051958,72.8626165,29.76,R/S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Kandivali East,place/suburb,Alpine Kandivali East,2022,4/13/2022
"Alta Monte, Pathanwadi",Mumbai,north,operational,Dindoshi,yes,Mindspace Malad,2.28,red,0.43,yes,yes,TRUE,Dindoshi,0.43,0-3km,3,Malad,1.66,9.94,16,76,6,19.1795154,72.8623967,26.92,P/N Ward,Maharashtra,1,5/31/2022,5/31/2022,high,Pathanwadi,place/locality,Pathanwadi,2022,4/13/2022
Altamount Road,Mumbai,south,under_construction,Ghatkopar L1,yes,Nariman Point CBD,4.46,blue,17.2,yes,no,FALSE,Grant Road,1.08,3-6km,1,Grant Road,0.85,15.14,51,63,5,18.9643815,72.807864,4.06,D Ward,Maharashtra,1,7/9/2022,7/9/2022,low,Altamount Road (S K Barodawala Marg),highway/tertiary,Altamount Road,2022,4/13/2022
"Altavista, Chembur",Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,3.65,blue,3.7,yes,no,FALSE,Diamond Garden,0.53,3-6km,5,VNP & RC Marg Junction,0.46,5.39,32,81,13,19.054818,72.8979713,14.48,M/W Ward,Maharashtra,2,5/22/2022,5/22/2022,high,Chembur,place/suburb,Chembur,2022,4/13/2022
"Altavista, Sion Trombay Road",Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,5.29,blue,4.56,yes,no,FALSE,Shivaji Chowk (Chembur),0.46,3-6km,4,Govandi,1.16,7.04,33,54,15,19.0457837,72.9106688,14.29,M/E Ward,Maharashtra,1,5/13/2022,5/13/2022,low,Sion Panvel Highway,highway/trunk,Altavista Sion Trombay Road,2022,4/13/2022
Amar Nagar,Mumbai,east,none,Aarey,yes,Wagle Estate Thane,3.89,red,7.74,no,no,TRUE,Aarey JVLR,6.57,3-6km,3,Nahur,2.12,11.35,33,36,6,19.1682298,72.9324791,27.48,T Ward,Maharashtra,1,7/4/2022,7/4/2022,high,Amar Nagar,place/neighbourhood,Amar Nagar,2022,4/13/2022
"Ambika Siddhi Apartment, Ghatkopar",Mumbai,east,operational,Ghatkopar L1,yes,Godrej One Vikhroli,2.53,blue,1.14,yes,yes,TRUE,Ghatkopar L1,1.14,0-3km,11,Ghatkopar,1.09,5.89,9,81,5,19.0842323,72.918635,18.39,N Ward,Maharashtra,1,5/15/2022,5/15/2022,high,Ghatkopar,place/suburb,Ghatkopar,2022,4/13/2022
"Ambrosia Apartment, Borivali East",Mumbai,north,operational,Devipada,yes,Mindspace Malad,5.22,red,0.39,yes,yes,TRUE,Devipada,0.39,3-6km,0,Borivali,0.55,15.19,8,106,14,19.2267228,72.8619328,32.14,R/C Ward,Maharashtra,1,6/12/2022,6/12/2022,high,Borivali East,place/suburb,Borivali East,2022,4/13/2022
Anand niwas,Mumbai,east,none,Ghatkopar L1,yes,Mindspace Airoli,3.42,blue,16.32,no,no,TRUE,Azad Nagar Bus Stop,7.76,3-6km,9,Mumbra,0.63,19.9,2,5,0,19.1843187,73.0240401,33.74,Mumbra,Maharashtra,1,7/9/2022,7/9/2022,low,devki niwas,building/yes,Anand niwas,2022,4/13/2022
"Anant Bhoomi, Mahavir Nagar",Mumbai,north,operational,Kandivali (West),yes,Mindspace Malad,3.46,yellow,0.12,yes,yes,TRUE,Kandivali (West),0.12,3-6km,0,Kandivali,1.89,14.13,25,74,8,19.2149882,72.8378643,30.71,R/S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Mahavir Nagar,place/quarter,Mahavir Nagar,2022,4/13/2022
Andheri East,Mumbai,west,operational,Western Express Highway,yes,SEEPZ Andheri East,0,blue,0.23,yes,yes,TRUE,Gundavali,0.18,0-3km,15,Andheri,0.92,3,36,92,5,19.1158835,72.854202,19.79,K/E Ward,Maharashtra,7,4/29/2022,7/7/2022,high,Andheri East,place/suburb,Andheri East,2022,4/13/2022
Andheri West,Mumbai,west,operational,Azad Nagar,yes,SEEPZ Andheri East,2.13,blue,1.14,yes,yes,TRUE,Azad Nagar,1.14,0-3km,13,Andheri,1.34,4.28,33,91,15,19.1172495,72.833968,19.84,K/W Ward,Maharashtra,15,4/29/2022,7/9/2022,high,Andheri West,place/suburb,Andheri West,2022,4/13/2022
"Anita, Lokhandwala Twp",Mumbai,north,operational,Poisar,yes,Mindspace Malad,4.19,red,1.69,yes,yes,TRUE,Poisar,1.69,3-6km,1,Kandivali,2.85,12.13,3,15,7,19.1982642,72.8781938,29.2,R/S Ward,Maharashtra,1,6/30/2022,6/30/2022,high,Anita Nagar,place/locality,Anita,2022,4/13/2022
anjali,Mumbai,east,none,Ghatkopar L1,yes,Vashi Business District,1.73,blue,10.65,no,no,TRUE,CBD Belapur,6.03,0-3km,4,Sanpada,0.34,15.37,23,18,7,19.0645682,73.0066333,22.8,Sanpada,Maharashtra,1,7/9/2022,7/9/2022,medium,Anjali Apartments,landuse/residential,anjali,2022,4/13/2022
Antop Hill,Mumbai,south,none,Ghatkopar L1,yes,Lower Parel Business District,4.65,blue,8.12,no,no,TRUE,Dadar,3.08,3-6km,4,Acharya Atre Nagar,0.5,7.39,43,34,4,19.0239461,72.8685474,10.09,F/N Ward,Maharashtra,1,5/23/2022,5/23/2022,high,Antop Hill,place/suburb,Antop Hill,2022,4/13/2022
"Antop Hill, Wadala",Mumbai,south,none,Ghatkopar L1,yes,Bandra Kurla Complex,4.6,blue,7.46,no,no,TRUE,Dharavi,3.49,3-6km,4,Bhakti Park,0.29,7.16,16,16,0,19.0269192,72.8759337,10.69,F/N Ward,Maharashtra,1,7/6/2022,7/6/2022,high,Wadala,place/suburb,Wadala,2022,4/13/2022
Anushakti Nagar,Mumbai,east,under_construction,Ghatkopar L1,no,Bandra Kurla Complex,6.67,blue,5.44,yes,no,FALSE,Deonar,0.76,6km+,0,Mankhurd,1.39,8.39,26,16,15,19.0395778,72.9221562,14.45,M/E Ward,Maharashtra,1,4/29/2022,4/29/2022,high,Anushakti Nagar,place/suburb,Anushakti Nagar,2022,4/13/2022
"Aristo Pearl Residency, Prabhadevi",Mumbai,south,under_construction,Asalpha,yes,Lower Parel Business District,1.35,blue,11.48,yes,no,FALSE,Siddhivinayak Temple,0.33,0-3km,4,Prabhadevi,1.17,9.14,47,48,5,19.0148811,72.8279556,8.5,G/S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Prabhadevi,place/suburb,Prabhadevi,2022,4/13/2022
"Ashford Casa Grande, Lower Parel",Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,0,blue,12.39,yes,no,FALSE,Worli,1.32,0-3km,3,Prabhadevi,0.77,10.28,50,55,8,19.0029881,72.8303219,7.16,G/S Ward,Maharashtra,1,7/6/2022,7/6/2022,high,Lower Parel,place/suburb,Lower Parel,2022,4/13/2022
"Ashok tower, Parel",Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,1.42,blue,11.1,yes,no,FALSE,Siddhivinayak Temple,1.47,0-3km,3,Parel,0.52,9.34,64,73,5,19.0084268,72.842505,7.78,F/S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Parel,place/suburb,Parel,2022,4/13/2022
Ashok Van,Mumbai,south,under_construction,Asalpha,yes,Lower Parel Business District,1.95,blue,10.76,yes,no,FALSE,Siddhivinayak Temple,0.52,0-3km,4,Dadar,1.21,8.42,54,63,5,19.0205197,72.8313766,9.1,G/N Ward,Maharashtra,1,6/2/2022,6/2/2022,low,Ashok Vada Pav,amenity/fast_food,Ashok Van,2022,4/13/2022
"Aspire, Kandivali East",Mumbai,north,operational,Poisar,yes,Mindspace Malad,3.26,red,0.19,yes,yes,TRUE,Poisar,0.19,3-6km,1,Kandivali,1.15,12.79,14,67,10,19.2051958,72.8626165,29.76,R/S Ward,Maharashtra,1,6/23/2022,6/23/2022,high,Kandivali East,place/suburb,Aspire Kandivali East,2022,4/13/2022
"Aspire, Thakur Village, Kandivali East",Mumbai,north,operational,Magathane,yes,Mindspace Malad,4.63,red,1.24,yes,yes,TRUE,Magathane,1.24,3-6km,0,Kandivali,2.62,13.36,5,24,7,19.2097189,72.8759248,30.42,R/S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Thakur Village,place/suburb,Thakur Village,2022,4/13/2022
"Atur Park, Chembur",Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,4.49,blue,4.04,yes,no,FALSE,Diamond Garden,0.33,3-6km,5,VNP & RC Marg Junction,1.12,6.22,36,82,17,19.0504871,72.9046974,14.4,M/W Ward,Maharashtra,1,7/1/2022,7/1/2022,high,Atur Park,place/locality,Atur Park Chembur,2022,4/13/2022
"Auris Serenity, Adarsh Nagar",Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.9,blue,6.63,yes,no,FALSE,Bandra Colony,2.31,3-6km,6,Bandra Terminus,1.3,4.73,39,50,7,19.0622146,72.8289581,13.74,Bandra West,Maharashtra,1,5/13/2022,5/13/2022,high,Adarsh Nagar,place/neighbourhood,Adarsh Nagar,2022,4/13/2022
"Auris Serenity, Kanch Pada",Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,6,5/18/2022,7/6/2022,none,,,,2022,4/13/2022
"Auris Serenity, Link Road",Mumbai,west,operational,D. N. Nagar,yes,SEEPZ Andheri East,2.56,blue,1.23,yes,yes,TRUE,D. N. Nagar,1.23,0-3km,13,Andheri,1.76,4.59,33,87,15,19.117227,72.8298965,19.85,K/W Ward,Maharashtra,1,5/11/2022,5/11/2022,low,Link Road,highway/primary,Link Road,2022,4/13/2022
"Auris Serenity, Malad West",Mumbai,north,operational,Kurar,yes,Mindspace Malad,0,red,1.85,yes,yes,TRUE,Malad (West),0.58,0-3km,3,Malad,0.83,10.68,24,94,13,19.1840129,72.8412155,27.27,P/N Ward,Maharashtra,3,5/18/2022,7/7/2022,high,Malad West,place/suburb,Malad West,2022,4/13/2022
"Avarsekar Heights, Worli",Mumbai,south,under_construction,Western Express Highway,yes,Lower Parel Business District,1.63,blue,12.27,yes,no,FALSE,Worli,0.38,0-3km,4,Prabhadevi,1.95,9.92,31,22,6,19.0117388,72.8178706,8.32,G/S Ward,Maharashtra,1,6/26/2022,6/26/2022,high,Worli,place/suburb,Worli,2022,4/13/2022
Azad Nagar Colaba,Mumbai,south,under_construction,Ghatkopar L1,yes,Nariman Point CBD,1.63,blue,21.37,yes,no,FALSE,Cuffe Parade,0.18,0-3km,0,Churchgate,2.61,20.21,19,15,7,18.9125419,72.8220815,3.24,A Ward,Maharashtra,1,7/6/2022,7/6/2022,low,Colaba Chambers,building/yes,Azad Nagar Colaba,2022,4/13/2022
"Badrinath Tower, Amit Nagar",Mumbai,west,operational,Versova,yes,Nirlon Knowledge Park,4.32,blue,0.85,yes,yes,TRUE,Versova,0.85,3-6km,7,Jogeshwari (Western Line),3.36,7.08,25,56,17,19.1367249,72.8169871,22.09,K/W Ward,Maharashtra,1,7/9/2022,7/9/2022,low,Badrinath Tower Road,highway/tertiary,Badrinath Tower Amit Nagar,2022,4/13/2022
"Balkrishna, Goregaon East",Mumbai,north,operational,Aarey,yes,Nirlon Knowledge Park,1.62,red,0.37,yes,yes,TRUE,Aarey,0.37,0-3km,5,Goregaon,0.77,8.83,14,72,6,19.1692623,72.8552548,25.71,P/S Ward,Maharashtra,1,4/29/2022,4/29/2022,high,Goregaon East,place/suburb,Balkrishna Goregaon East,2022,4/13/2022
"Ballerina Apartment, Lokhandwala Complex",Mumbai,west,operational,Versova,yes,Nirlon Knowledge Park,3.29,blue,1.47,yes,yes,TRUE,Lower Oshiwara,0.79,3-6km,7,Jogeshwari (Harbour Line),2.62,7.13,28,67,21,19.1430985,72.8246055,22.75,K/W Ward,Maharashtra,1,6/27/2022,6/27/2022,high,Lokhandwala Complex,place/neighbourhood,Lokhandwala Complex,2022,4/13/2022
"Band Stand, Bandra Band Stand",Mumbai,south,under_construction,Western Express Highway,yes,Lower Parel Business District,4.85,blue,8.65,yes,no,FALSE,Shitala Devi Mandir,2.35,3-6km,5,Bandra,2.27,6.62,21,17,2,19.0456829,72.8209967,11.98,Bandra West,Maharashtra,1,6/30/2022,6/30/2022,low,Band Stand,building/apartments,Band Stand Bandra Band Stand,2022,4/13/2022
Bandra East,Mumbai,south,under_construction,Chakala - J.B. Nagar,yes,Bandra Kurla Complex,1.78,blue,5.91,yes,no,FALSE,Bandra Kurla Complex (BKC),0.52,0-3km,7,Bandra Terminus,0.9,3.46,30,51,7,19.0616565,72.8498111,13.74,H/E Ward,Maharashtra,1,6/13/2022,6/13/2022,high,Bandra East,place/suburb,Bandra East,2022,4/13/2022
Bandra West,Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.85,blue,6.96,yes,no,FALSE,Bandra Colony,2.39,3-6km,6,Bandra,1.11,4.93,43,54,7,19.0583358,72.8302669,13.3,Mumbai,Maharashtra,37,5/12/2022,7/9/2022,high,Bandra West,place/suburb,Bandra West,2022,4/13/2022
"Beach Towers, Prabhadevi",Mumbai,south,under_construction,Asalpha,yes,Lower Parel Business District,1.35,blue,11.48,yes,no,FALSE,Siddhivinayak Temple,0.33,0-3km,4,Prabhadevi,1.17,9.14,47,48,5,19.0148811,72.8279556,8.5,G/S Ward,Maharashtra,1,7/4/2022,7/4/2022,high,Prabhadevi,place/suburb,Prabhadevi,2022,4/13/2022
"Benchmark Solus, Waterfield Road",Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.28,blue,6.2,yes,no,FALSE,Bandra Colony,1.68,3-6km,7,Bandra Terminus,0.71,4.15,47,65,9,19.0640655,72.8346916,13.93,H/W Ward,Maharashtra,1,6/16/2022,6/16/2022,low,RK Patkar Marg (Waterfield Road),highway/tertiary,Waterfield Road,2022,4/13/2022
"Benzer Tower, Thakur Complex",Mumbai,north,operational,Magathane,yes,Mindspace Malad,3.88,red,0.67,yes,yes,TRUE,Magathane,0.67,3-6km,0,Kandivali,1.54,13.47,6,59,12,19.2112442,72.8643107,30.45,R/S Ward,Maharashtra,1,5/14/2022,5/14/2022,medium,Thakur Complex,landuse/residential,Thakur Complex,2022,4/13/2022
Best Nagar Goregaon West,Mumbai,north,under_construction,Aarey,yes,Nirlon Knowledge Park,1.24,red,2.59,yes,no,FALSE,Oshiwara,1.09,0-3km,11,Ram Mandir,0.89,7.26,25,56,12,19.1523685,72.8418255,23.76,P/S Ward,Maharashtra,1,7/9/2022,7/9/2022,medium,Best Nagar 1,landuse/residential,Best Nagar Goregaon West,2022,4/13/2022
Beverly Park,Mumbai,north,under_construction,Anand Nagar,no,Mindspace Malad,11.76,yellow,3.3,yes,no,FALSE,Kashigaon,1.69,6km+,0,Mira Road,1.32,21.88,13,47,4,19.2868429,72.8673591,38.85,Mira,Maharashtra,1,7/7/2022,7/7/2022,medium,Beverly Park,highway/bus_stop,Beverly Park,2022,4/13/2022
"Bhairav Residency, Mira Road",Mumbai,east,none,Ghatkopar L1,yes,Millennium Business Park Mahape,2.88,blue,9.68,no,no,TRUE,Mandale,9.59,0-3km,10,Ghansoli,1.39,14.11,7,4,1,19.1181799,72.9939112,25.99,Ghansoli,Maharashtra,1,7/1/2022,7/1/2022,medium,Bhairaav Goldcrest Residency,landuse/residential,Bhairav Residency,2022,4/13/2022
Bhakti Park,Mumbai,south,none,Ghatkopar L1,yes,Bandra Kurla Complex,4.6,blue,7.2,no,no,TRUE,Chembur,3.23,3-6km,4,Bhakti Park,0.24,7.14,5,8,0,19.0278681,72.8795682,10.94,M/W Ward,Maharashtra,3,6/16/2022,7/9/2022,high,Bhakti Park,place/neighbourhood,Bhakti Park,2022,4/13/2022
"Bhakti Park, Bhakti Park",Mumbai,south,none,Ghatkopar L1,yes,Bandra Kurla Complex,4.6,blue,7.2,no,no,TRUE,Chembur,3.23,3-6km,4,Bhakti Park,0.24,7.14,5,8,0,19.0278681,72.8795682,10.94,M/W Ward,Maharashtra,1,6/8/2022,6/8/2022,high,Bhakti Park,place/neighbourhood,Bhakti Park Bhakti Park,2022,4/13/2022
Bhandup,Mumbai,east,none,Jagruti Nagar,yes,Godrej One Vikhroli,3.75,blue,6.19,no,no,TRUE,Aarey JVLR,5.51,3-6km,6,Bhandup,0.57,9.35,27,39,2,19.1378308,72.9361964,24.54,S Ward,Maharashtra,1,6/16/2022,6/16/2022,high,Bhandup East,place/suburb,Bhandup,2022,4/13/2022
Bhandup East,Mumbai,east,none,Jagruti Nagar,yes,Godrej One Vikhroli,3.75,blue,6.19,no,no,TRUE,Aarey JVLR,5.51,3-6km,6,Bhandup,0.57,9.35,27,39,2,19.1378308,72.9361964,24.54,S Ward,Maharashtra,2,5/10/2022,5/31/2022,high,Bhandup East,place/suburb,Bhandup East,2022,4/13/2022
Bhandup Village,Mumbai,east,none,Jagruti Nagar,yes,Wagle Estate Thane,5.34,blue,7.82,no,no,TRUE,Aarey JVLR,6.6,3-6km,2,Nahur,0.54,10.82,26,44,6,19.1510112,72.9432535,26.18,S Ward,Maharashtra,1,6/25/2022,6/25/2022,high,Bhandup Village West,place/neighbourhood,Bhandup Village,2022,4/13/2022
Bhandup West,Mumbai,east,none,Saki Naka,yes,Godrej One Vikhroli,4.64,blue,6.78,no,no,TRUE,Aarey JVLR,5.5,3-6km,6,Bhandup,0.55,9.73,20,42,4,19.1462636,72.9339461,25.29,S Ward,Maharashtra,5,4/29/2022,6/20/2022,high,Bhandup West,place/suburb,Bhandup West,2022,4/13/2022
"Bharat Ark, Andheri West",Mumbai,west,operational,Azad Nagar,yes,SEEPZ Andheri East,2.13,blue,1.14,yes,yes,TRUE,Azad Nagar,1.14,0-3km,13,Andheri,1.34,4.28,33,91,15,19.1172495,72.833968,19.84,K/W Ward,Maharashtra,1,6/4/2022,6/4/2022,high,Andheri West,place/suburb,Andheri West,2022,4/13/2022
Bhatti Pada,Mumbai,east,none,Anand Nagar,no,Wagle Estate Thane,8.93,yellow,9.43,no,no,TRUE,Azad Nagar Bus Stop,5.11,6km+,2,Kharbhav,3.93,23.02,5,7,4,19.2788123,72.9532408,39.78,Bhayander Pada,Maharashtra,1,6/4/2022,6/4/2022,low,Bhatti Road,highway/residential,Bhatti Pada,2022,4/13/2022
Bhayandar East,Mumbai,north,none,Anand Nagar,no,Mindspace Malad,13.08,yellow,4.78,no,no,TRUE,Kashigaon,3.14,6km+,0,Bhayandar,1.49,23.33,10,67,4,19.3000043,72.8619098,40.26,Bhayander East,Maharashtra,1,5/25/2022,5/25/2022,low,Mira Bhayandar Sports Complex,leisure/sports_centre,Bhayandar East,2022,4/13/2022
Bhoiwada,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,1.67,blue,11.17,yes,no,FALSE,Siddhivinayak Temple,1.99,0-3km,3,Ambedkar Nagar,0.43,9.62,49,56,1,19.0050981,72.846061,7.46,F/S Ward,Maharashtra,1,5/27/2022,5/27/2022,high,Bhoiwada,place/neighbourhood,Bhoiwada,2022,4/13/2022
"Bhoomi Elegant, Thakur Complex",Mumbai,north,operational,Magathane,yes,Mindspace Malad,3.88,red,0.67,yes,yes,TRUE,Magathane,0.67,3-6km,0,Kandivali,1.54,13.47,6,59,12,19.2112442,72.8643107,30.45,R/S Ward,Maharashtra,1,5/18/2022,5/18/2022,medium,Thakur Complex,landuse/residential,Thakur Complex,2022,4/13/2022
"Bindra Complex , Andheri East",Mumbai,west,operational,Western Express Highway,yes,SEEPZ Andheri East,0,blue,0.23,yes,yes,TRUE,Gundavali,0.18,0-3km,15,Andheri,0.92,3,36,92,5,19.1158835,72.854202,19.79,K/E Ward,Maharashtra,1,6/1/2022,6/1/2022,high,Andheri East,place/suburb,Andheri East,2022,4/13/2022
